2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -2.753126391894513E+07,  1.444972471173636E+08,  7.510094160541892E+03, -2.973906394248862E+01, -5.692175976123417E+00,  5.665776172829595E-04,
2443145.500000000, A.D. 1977-Jan-02 00:00:00.0000, -3.009623601555467E+07,  1.439830712397934E+08,  7.553998180843890E+03, -2.963382256429464E+01, -6.209686758060182E+00,  4.424502282525111E-04,
2443146.500000000, A.D. 1977-Jan-03 00:00:00.0000, -3.265173624267678E+07,  1.434242761637068E+08,  7.585343895368278E+03, -2.951982352174061E+01, -6.725013363186690E+00,  2.765095242245330E-04,
2443147.500000000, A.D. 1977-Jan-04 00:00:00.0000, -3.519701193831522E+07,  1.428210541268894E+08,  7.600705844968557E+03, -2.939715809653351E+01, -7.238076736754783E+00,  7.336601066354476E-05,
2443148.500000000, A.D. 1977-Jan-05 00:00:00.0000, -3.773131790949471E+07,  1.421736035282141E+08,  7.597132764548063E+03, -2.926590696896152E+01, -7.748813362589332E+00, -1.605710327816645E-04,
2443149.500000000, A.D. 1977-Jan-06 00:00:00.0000, -4.025391526057237E+07,  1.414821276094956E+08,  7.572311966046691E+03, -2.912613417498644E+01, -8.257174257673093E+00, -4.169145896266713E-04,
2443150.500000000, A.D. 1977-Jan-07 00:00:00.0000, -4.276406968601140E+07,  1.407468333436245E+08,  7.524740517601371E+03, -2.897788097257999E+01, -8.763121165167089E+00, -6.853344474007095E-04,
2443151.500000000, A.D. 1977-Jan-08 00:00:00.0000, -4.526104927751516E+07,  1.399679307708580E+08,  7.453882164977491E+03, -2.882116094769927E+01, -9.266620065009130E+00, -9.538563826527735E-04,
2443152.500000000, A.D. 1977-Jan-09 00:00:00.0000, -4.774412200266069E+07,  1.391456329860983E+08,  7.360287106864154E+03, -2.865595744289181E+01, -9.767632763788646E+00, -1.209415947893699E-03,
2443153.500000000, A.D. 1977-Jan-10 00:00:00.0000, -5.021255308203685E+07,  1.382801568957581E+08,  7.245655114591122E+03, -2.848222380455580E+01, -1.026610768211022E+01, -1.438602369028708E-03,
2443154.500000000, A.D. 1977-Jan-11 00:00:00.0000, -5.266560250636215E+07,  1.373717247677347E+08,  7.112829242989421E+03, -2.829988631356408E+01, -1.076197084135165E+01, -1.628507992883499E-03,
2443155.500000000, A.D. 1977-Jan-12 00:00:00.0000, -5.510252290707970E+07,  1.364205665308973E+08,  6.965713944084942E+03, -2.810884936912331E+01, -1.125511756648241E+01, -1.767622381733780E-03,
2443156.500000000, A.D. 1977-Jan-13 00:00:00.0000, -5.752255796358976E+07,  1.354269227577066E+08,  6.809114687174559E+03, -2.790900274341735E+01, -1.174540496126448E+01, -1.846756127871885E-03,
2443157.500000000, A.D. 1977-Jan-14 00:00:00.0000, -5.992494154015125E+07,  1.343910482618000E+08,  6.648496117152274E+03, -2.770023134290611E+01, -1.223264525919981E+01, -1.860003140364164E-03,
2443158.500000000, A.D. 1977-Jan-15 00:00:00.0000, -6.230889780577924E+07,  1.333132162038589E+08,  6.489656299911439E+03, -2.748242834438033E+01, -1.271660096232979E+01, -1.805706987592082E-03,
2443159.500000000, A.D. 1977-Jan-16 00:00:00.0000, -6.467364265351858E+07,  1.321937224650714E+08,  6.338322350554168E+03, -2.725551208965715E+01, -1.319698398213726E+01, -1.687275494265172E-03,
2443160.500000000, A.D. 1977-Jan-17 00:00:00.0000, -6.701838669900795E+07,  1.310328898111079E+08,  6.199692705415189E+03, -2.701944529104038E+01, -1.367346185960552E+01, -1.513541607887525E-03,
2443161.500000000, A.D. 1977-Jan-18 00:00:00.0000, -6.934233989928094E+07,  1.298310711244608E+08,  6.077980725102127E+03, -2.677425243806258E+01, -1.414567328041876E+01, -1.298319676831028E-03,
2443162.500000000, A.D. 1977-Jan-19 00:00:00.0000, -7.164471738763681E+07,  1.285886509141959E+08,  5.976039027459919E+03, -2.652002955382005E+01, -1.461325191084969E+01, -1.058978152285839E-03,
2443163.500000000, A.D. 1977-Jan-20 00:00:00.0000, -7.392474564109671E+07,  1.273060445820071E+08,  5.895143848203123E+03, -2.625694165619176E+01, -1.507585332084899E+01, -8.142331899563260E-04,
2443164.500000000, A.D. 1977-Jan-21 00:00:00.0000, -7.618166786943945E+07,  1.259836955047254E+08,  5.834983447603881E+03, -2.598520770475811E+01, -1.553317732678077E+01, -5.817499037679141E-04,
2443165.500000000, A.D. 1977-Jan-22 00:00:00.0000, -7.841474772618212E+07,  1.246220706189330E+08,  5.793836698077619E+03, -2.570507795786761E+01, -1.598497964062489E+01, -3.762419892376911E-04,
2443166.500000000, A.D. 1977-Jan-23 00:00:00.0000, -8.062327100193213E+07,  1.232216555314222E+08,  5.768877192482352E+03, -2.541681113158100E+01, -1.643107139907818E+01, -2.085042570225681E-04,
2443167.500000000, A.D. 1977-Jan-24 00:00:00.0000, -8.280654556241739E+07,  1.217829500899572E+08,  5.756518783152103E+03, -2.512065732497951E+01, -1.687130978066165E+01, -8.539022746756331E-05,
2443168.500000000, A.D. 1977-Jan-25 00:00:00.0000, -8.496390015807025E+07,  1.203064649613098E+08,  5.752732575878501E+03, -2.481684904700472E+01, -1.730558495233169E+01, -1.043021334279359E-05,
2443169.500000000, A.D. 1977-Jan-26 00:00:00.0000, -8.709468278241351E+07,  1.187927193259959E+08,  5.753297157280147E+03, -2.450559939749734E+01, -1.773380787506524E+01,  1.530321193143891E-05,
