2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -9.239390896072524E+08,  1.005762310032684E+09,  1.913382747070354E+07, -7.646417801805516E+00, -6.556209658683437E+00,  4.179376678640687E-01,
2443145.500000000, A.D. 1977-Jan-02 00:00:00.0000, -9.245995789709362E+08,  1.005195650044816E+09,  1.916993896231323E+07, -7.642680548605190E+00, -6.560947481872477E+00,  4.179900611940544E-01,
2443146.500000000, A.D. 1977-Jan-03 00:00:00.0000, -9.252597407046469E+08,  1.004628574603511E+09,  1.920605774117804E+07, -7.638818452804342E+00, -6.565804719621134E+00,  4.180939960912888E-01,
2443147.500000000, A.D. 1977-Jan-04 00:00:00.0000, -9.259195656223816E+08,  1.004061076384297E+09,  1.924218683957189E+07, -7.634888201057372E+00, -6.570763290979484E+00,  4.182441522416460E-01,
2443148.500000000, A.D. 1977-Jan-05 00:00:00.0000, -9.265790397985742E+08,  1.003493141372107E+09,  1.927833226317340E+07, -7.630637283400731E+00, -6.575869327766060E+00,  4.184422487927852E-01,
2443149.500000000, A.D. 1977-Jan-06 00:00:00.0000, -9.272381336016395E+08,  1.002924772377811E+09,  1.931448982958287E+07, -7.626154169459722E+00, -6.580801215320021E+00,  4.185277940636252E-01,
2443150.500000000, A.D. 1977-Jan-07 00:00:00.0000, -9.278968346137074E+08,  1.002355981651636E+09,  1.935065211376023E+07, -7.621532437569603E+00, -6.585614490374446E+00,  4.185415324091468E-01,
2443151.500000000, A.D. 1977-Jan-08 00:00:00.0000, -9.285551334259427E+08,  1.001786783023429E+09,  1.938681120666355E+07, -7.616858159330738E+00, -6.590253961656924E+00,  4.184607420416051E-01,
2443152.500000000, A.D. 1977-Jan-09 00:00:00.0000, -9.292130271047451E+08,  1.001217191240919E+09,  1.942295932590991E+07, -7.612174501042146E+00, -6.594703965152199E+00,  4.182835194362715E-01,
2443153.500000000, A.D. 1977-Jan-10 00:00:00.0000, -9.298705207985935E+08,  1.000647221723131E+09,  1.945908912450480E+07, -7.607594431176773E+00, -6.599028619524717E+00,  4.180525518778424E-01,
2443154.500000000, A.D. 1977-Jan-11 00:00:00.0000, -9.305276185221022E+08,  1.000076884739298E+09,  1.949519588908106E+07, -7.603039928849318E+00, -6.603158882576285E+00,  4.177261618423058E-01,
2443155.500000000, A.D. 1977-Jan-12 00:00:00.0000, -9.311843372982142E+08,  9.995061985117548E+08,  1.953127193086457E+07, -7.598827048150564E+00, -6.607189280269023E+00,  4.173820556052790E-01,
2443156.500000000, A.D. 1977-Jan-13 00:00:00.0000, -9.318406998657889E+08,  9.989351605098882E+08,  1.956732097376233E+07, -7.594776738880535E+00, -6.611292260431730E+00,  4.170937841461235E-01,
2443157.500000000, A.D. 1977-Jan-14 00:00:00.0000, -9.324967182634758E+08,  9.983637651013054E+08,  1.960334718862367E+07, -7.590850291674686E+00, -6.615468746413200E+00,  4.168565349631477E-01,
2443158.500000000, A.D. 1977-Jan-15 00:00:00.0000, -9.331524013882253E+08,  9.977920062049953E+08,  1.963935477206308E+07, -7.587030440933348E+00, -6.619703779561354E+00,  4.166618797411932E-01,
2443159.500000000, A.D. 1977-Jan-16 00:00:00.0000, -9.338077597632602E+08,  9.972198746321185E+08,  1.967534960337722E+07, -7.583285795275224E+00, -6.624108587952070E+00,  4.165642536322873E-01,
2443160.500000000, A.D. 1977-Jan-17 00:00:00.0000, -9.344627947124676E+08,  9.966473597854171E+08,  1.971133747689968E+07, -7.579595335872408E+00, -6.628579629436740E+00,  4.165069475734007E-01,
2443161.500000000, A.D. 1977-Jan-18 00:00:00.0000, -9.351175137157298E+08,  9.960744467492168E+08,  1.974732689181685E+07, -7.575895622685496E+00, -6.633341600823766E+00,  4.166014352439955E-01,
2443162.500000000, A.D. 1977-Jan-19 00:00:00.0000, -9.357719021548645E+08,  9.955011153098425E+08,  1.978332709126031E+07, -7.571954105369886E+00, -6.638223681984362E+00,  4.167355086532010E-01,
2443163.500000000, A.D. 1977-Jan-20 00:00:00.0000, -9.364259430117618E+08,  9.949273602160451E+08,  1.981933920835835E+07, -7.567843961034442E+00, -6.643147476371527E+00,  4.168769643622841E-01,
2443164.500000000, A.D. 1977-Jan-21 00:00:00.0000, -9.370796222411497E+08,  9.943531798385378E+08,  1.985536289930290E+07, -7.563598582450087E+00, -6.648080144368874E+00,  4.170106596455976E-01,
2443165.500000000, A.D. 1977-Jan-22 00:00:00.0000, -9.377329242037953E+08,  9.937785714413924E+08,  1.989139817377949E+07, -7.559087753214376E+00, -6.653005465802502E+00,  4.171172345659855E-01,
2443166.500000000, A.D. 1977-Jan-23 00:00:00.0000, -9.383858307253467E+08,  9.932035448680394E+08,  1.992743830240226E+07, -7.554472756335439E+00, -6.657787323369986E+00,  4.171398429726585E-01,
2443167.500000000, A.D. 1977-Jan-24 00:00:00.0000, -9.390383308875332E+08,  9.926281089991231E+08,  1.996347779145181E+07, -7.549664446327818E+00, -6.662436141841063E+00,  4.170781676332469E-01,
2443168.500000000, A.D. 1977-Jan-25 00:00:00.0000, -9.396904143404156E+08,  9.920522859467999E+08,  1.999950434964246E+07, -7.544898762120121E+00, -6.666765627324478E+00,  4.168557024237352E-01,
2443169.500000000, A.D. 1977-Jan-26 00:00:00.0000, -9.403420934749495E+08,  9.914760953400351E+08,  2.003550917493761E+07, -7.540295838372712E+00, -6.670953925653015E+00,  4.165789337402193E-01,
